gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000130204,1132.09944054329,2.7850377449638444,0.5271690756726991,5.283006673731706,1.2708076015629645e-7,1.733184458013673e-6
ENSG00000130203,32.963607946113584,2.251617319842535,0.6311331435810369,3.567578953415286,3.6029483555082914e-4,0.0017176942789949036
ENSG00000130208,18.205638113768245,2.8484377620695054,0.5717187169843192,4.982236329596379,6.285360375231172e-7,7.140947192460093e-6
ENSG00000104853,1768.2544949177466,1.2085467311002651,0.3488530195324219,3.46434361588762,5.315270867633616e-4,0.0023971996407178373
ENSG00000104859,530.000049723421,1.995433508219693,0.38399339558888035,5.196530802722682,2.030419706373362e-7,2.6474228363422196e-6
ENSG00000170684,27.426095806622733,4.237987122683874,0.657524935237524,6.445363355159977,1.1532378906770426e-10,3.057182229934937e-9
ENSG00000142252,221.49214242218298,1.1013421996193198,0.38011203064677773,2.8974147378217325,0.003762519943287966,0.012456270452576837
ENSG00000104866,437.06107061066564,2.9816747637995933,0.4279363982786692,6.967565217151609,3.2247298032244757e-12,1.1877279151345369e-10
ENSG00000007255,78.7969760153285,3.38995052937454,0.5638978319334753,6.011639586822286,1.8365627568321818e-9,3.806028644283257e-8
ENSG00000104884,1536.8274605380604,1.959238166744691,0.43602115020256926,4.493447544538737,7.007928953131552e-6,5.7718338330343375e-5
ENSG00000104881,1088.5339423811324,2.8401054808682162,0.49675445614611435,5.717322604214009,1.0821555169152923e-8,1.9003929373001884e-7
ENSG00000117877,138.8899197068796,1.5181646616191384,0.4728166677830069,3.210894972754811,0.0013232228675202412,0.005213556555335352
ENSG00000012061,1081.929520226636,2.1361307069462123,0.32410885013886676,6.5907817883744055,4.3751653943686865e-11,1.2601687454230085e-9
ENSG00000125740,541.0379064285038,-5.557970651996169,0.7523966566212059,-7.387021995758721,1.501537667806662e-13,7.169483487661179e-12
ENSG00000125744,125.39873457026701,2.1919383551718172,0.37418595742371497,5.85788512819508,4.6879872202348516e-9,8.848708757649638e-8
